car_name,model_year,msrp,acceleration,mpg,cylinders,weight,displacement,horsepower,origin
toyota corolla 1600 (sw),72,2301,NA,NA,NA,NA,NA,NA,NA
toyota corona hardtop,72,2532,NA,NA,NA,NA,NA,NA,NA
toyoto corona mark ii (sw),72,2837,NA,NA,NA,NA,NA,NA,NA
volkswagen 411 (sw),72,3275,NA,NA,NA,NA,NA,NA,NA
volkswagen type 3,72,2549,NA,NA,NA,NA,NA,NA,NA
volvo 145e (sw),72,3890,NA,NA,NA,NA,NA,NA,NA
amc ambassador brougham,73,4477,NA,NA,NA,NA,NA,NA,NA
amc gremlin,73,2098,NA,NA,NA,NA,NA,NA,NA
amc hornet,73,2449,NA,NA,NA,NA,NA,NA,NA
amc matador,73,2986,NA,NA,NA,NA,NA,NA,NA
audi 100ls,73,4275,NA,NA,NA,NA,NA,NA,NA
buick century 350,73,3057,NA,NA,NA,NA,NA,NA,NA
buick electra 225 custom,73,4993,NA,NA,NA,NA,NA,NA,NA
chevrolet caprice classic,73,4345,NA,NA,NA,NA,NA,NA,NA
chevrolet impala,73,3836,NA,NA,NA,NA,NA,NA,NA
chevrolet malibu,73,3010,NA,NA,NA,NA,NA,NA,NA
chevrolet monte carlo s,73,3562,NA,NA,NA,NA,NA,NA,NA
chevrolet nova custom,73,2641,NA,NA,NA,NA,NA,NA,NA
chevrolet vega,73,2192,NA,NA,NA,NA,NA,NA,NA
chrysler new yorker brougham,73,5413,NA,NA,NA,NA,NA,NA,NA
dodge coronet custom,73,3129,NA,NA,NA,NA,NA,NA,NA
dodge dart custom,73,2658,NA,NA,NA,NA,NA,NA,NA
fiat 124 sport coupe,73,3674,NA,NA,NA,NA,NA,NA,NA
fiat 128,73,2195,NA,NA,NA,NA,NA,NA,NA
ford gran torino,73,3015,NA,NA,NA,NA,NA,NA,NA
ford ltd,73,3950,NA,NA,NA,NA,NA,NA,NA
ford maverick,73,2248,NA,NA,NA,NA,NA,NA,NA
ford pinto,73,2021,NA,NA,NA,NA,NA,NA,NA
maxda rx3,73,3295,NA,NA,NA,NA,NA,NA,NA
mercury marquis brougham,73,5151,NA,NA,NA,NA,NA,NA,NA
oldsmobile omega,73,2777,NA,NA,NA,NA,NA,NA,NA
oldsmobile vista cruiser,73,3789,NA,NA,NA,NA,NA,NA,NA
plymouth fury gran sedan,73,4064,NA,NA,NA,NA,NA,NA,NA
plymouth valiant,73,2447,NA,NA,NA,NA,NA,NA,NA
pontiac grand prix,73,4583,NA,NA,NA,NA,NA,NA,NA
saab 99le,73,4095,NA,NA,NA,NA,NA,NA,NA
toyota carina,73,2589,NA,NA,NA,NA,NA,NA,NA
volkswagen super beetle,73,2499,NA,NA,NA,NA,NA,NA,NA
volvo 144ea,73,4340,NA,NA,NA,NA,NA,NA,NA
amc hornet,74,2849,NA,NA,NA,NA,NA,NA,NA
amc matador,74,3699,NA,NA,NA,NA,NA,NA,NA
amc matador (sw),74,3477,NA,NA,NA,NA,NA,NA,NA
audi fox,74,3975,NA,NA,NA,NA,NA,NA,NA
buick century luxus (sw),74,4371,NA,NA,NA,NA,NA,NA,NA
chevrolet nova,74,2919,NA,NA,NA,NA,NA,NA,NA
chevrolet vega,74,2505,NA,NA,NA,NA,NA,NA,NA
dodge colt,74,2585,NA,NA,NA,NA,NA,NA,NA
dodge coronet custom (sw),74,3882,NA,NA,NA,NA,NA,NA,NA
fiat 124 tc,74,4343,NA,NA,NA,NA,NA,NA,NA
fiat 128,74,2684,NA,NA,NA,NA,NA,NA,NA
fiat x1.9,74,4167,NA,NA,NA,NA,NA,NA,NA
ford gran torino,74,3411,NA,NA,NA,NA,NA,NA,NA
ford gran torino (sw),74,4017,NA,NA,NA,NA,NA,NA,NA
ford maverick,74,2790,NA,NA,NA,NA,NA,NA,NA
ford pinto,74,2527,NA,NA,NA,NA,NA,NA,NA
honda civic,74,2545,NA,NA,NA,NA,NA,NA,NA
opel manta,74,3275,NA,NA,NA,NA,NA,NA,NA
plymouth duster,74,2829,NA,NA,NA,NA,NA,NA,NA
plymouth satellite sebring,74,3468,NA,NA,NA,NA,NA,NA,NA
subaru,74,2997,NA,NA,NA,NA,NA,NA,NA
toyota corolla 1200,74,2199,NA,NA,NA,NA,NA,NA,NA
toyota corona,74,3344,NA,NA,NA,NA,NA,NA,NA
volkswagen dasher,74,4100,NA,NA,NA,NA,NA,NA,NA
amc gremlin,75,2798,NA,NA,NA,NA,NA,NA,NA
amc matador,75,3545,NA,NA,NA,NA,NA,NA,NA
amc pacer,75,3299,NA,NA,NA,NA,NA,NA,NA
audi 100ls,75,6002,NA,NA,NA,NA,NA,NA,NA
buick century,75,4022,NA,NA,NA,NA,NA,NA,NA
buick skyhawk,75,4173,NA,NA,NA,NA,NA,NA,NA
chevrolet bel air,75,4345,NA,NA,NA,NA,NA,NA,NA
chevrolet monza 2+2,75,3953,NA,NA,NA,NA,NA,NA,NA
chevrolet nova,75,3280,NA,NA,NA,NA,NA,NA,NA
ford ltd,75,4753,NA,NA,NA,NA,NA,NA,NA
ford maverick,75,3025,NA,NA,NA,NA,NA,NA,NA
ford mustang ii,75,3801,NA,NA,NA,NA,NA,NA,NA
ford pinto,75,2769,NA,NA,NA,NA,NA,NA,NA
honda civic cvcc,75,3009,NA,NA,NA,NA,NA,NA,NA
mercury monarch,75,3892,NA,NA,NA,NA,NA,NA,NA
peugeot 504,75,6330,NA,NA,NA,NA,NA,NA,NA
plymouth fury,75,3672,NA,NA,NA,NA,NA,NA,NA
plymouth grand fury,75,4565,NA,NA,NA,NA,NA,NA,NA
plymouth valiant custom,75,3422,NA,NA,NA,NA,NA,NA,NA
pontiac astro,75,3079,NA,NA,NA,NA,NA,NA,NA
pontiac catalina,75,4700,NA,NA,NA,NA,NA,NA,NA
saab 99le,75,5198,NA,NA,NA,NA,NA,NA,NA
toyota corolla,75,2711,NA,NA,NA,NA,NA,NA,NA
toyota corona,75,4379,NA,NA,NA,NA,NA,NA,NA
volkswagen dasher,75,4700,NA,NA,NA,NA,NA,NA,NA
volkswagen rabbit,75,3330,NA,NA,NA,NA,NA,NA,NA
volvo 244dl,75,6595,NA,NA,NA,NA,NA,NA,NA
amc hornet,76,3199,NA,NA,NA,NA,NA,NA,NA
amc matador,76,3725,NA,NA,NA,NA,NA,NA,NA
amc pacer d/l,76,3499,NA,NA,NA,NA,NA,NA,NA
cadillac seville,76,12479,NA,NA,NA,NA,NA,NA,NA
chevrolet chevelle malibu classic,76,4455,NA,NA,NA,NA,NA,NA,NA
chevrolet chevette,76,2558,NA,NA,NA,NA,NA,NA,NA
chevrolet nova,76,3413,NA,NA,NA,NA,NA,NA,NA
chevy c10,76,5087,NA,NA,NA,NA,NA,NA,NA
dodge aspen se,76,4413,NA,NA,NA,NA,NA,NA,NA
dodge colt,76,3175,NA,NA,NA,NA,NA,NA,NA
dodge coronet brougham,76,4297,NA,NA,NA,NA,NA,NA,NA
dodge d100,76,3777,NA,NA,NA,NA,NA,NA,NA
fiat 131,76,4286,NA,NA,NA,NA,NA,NA,NA
ford granada ghia,76,4353,NA,NA,NA,NA,NA,NA,NA
ford maverick,76,3117,NA,NA,NA,NA,NA,NA,NA
ford pinto,76,3025,NA,NA,NA,NA,NA,NA,NA
honda civic,76,2939,NA,NA,NA,NA,NA,NA,NA
mercedes-benz 280s,76,17124,NA,NA,NA,NA,NA,NA,NA
peugeot 504,76,7340,NA,NA,NA,NA,NA,NA,NA
plymouth valiant,76,3276,NA,NA,NA,NA,NA,NA,NA
plymouth volare premier v8,76,3324,NA,NA,NA,NA,NA,NA,NA
pontiac ventura sj,76,3702,NA,NA,NA,NA,NA,NA,NA
renault 12tl,76,3899,NA,NA,NA,NA,NA,NA,NA
toyota corolla,76,2789,NA,NA,NA,NA,NA,NA,NA
volkswagen rabbit,76,3499,NA,NA,NA,NA,NA,NA,NA
volvo 245,76,7495,NA,NA,NA,NA,NA,NA,NA
vw rabbit,76,3499,NA,NA,NA,NA,NA,NA,NA
bmw 320i,77,7990,NA,NA,NA,NA,NA,NA,NA
buick skylark,77,3865,NA,NA,NA,NA,NA,NA,NA
chevrolet caprice classic,77,5307,NA,NA,NA,NA,NA,NA,NA
chevrolet chevette,77,3225,NA,NA,NA,NA,NA,NA,NA
chevrolet concours,77,4111,NA,NA,NA,NA,NA,NA,NA
chevrolet monte carlo landau,77,4968,NA,NA,NA,NA,NA,NA,NA
chrysler cordoba,77,5418,NA,NA,NA,NA,NA,NA,NA
dodge colt m/m,77,2999,NA,NA,NA,NA,NA,NA,NA
dodge monaco brougham,77,4408,NA,NA,NA,NA,NA,NA,NA
ford granada,77,4209,NA,NA,NA,NA,NA,NA,NA
ford mustang ii 2+2,77,4183,NA,NA,NA,NA,NA,NA,NA
ford thunderbird,77,5063,NA,NA,NA,NA,NA,NA,NA
honda accord cvcc,77,3299,NA,NA,NA,NA,NA,NA,NA
mazda rx-4,77,5470,NA,NA,NA,NA,NA,NA,NA
mercury cougar brougham,77,4990,NA,NA,NA,NA,NA,NA,NA
oldsmobile cutlass supreme,77,4825,NA,NA,NA,NA,NA,NA,NA
plymouth arrow gs,77,3654,NA,NA,NA,NA,NA,NA,NA
plymouth volare custom,77,3752,NA,NA,NA,NA,NA,NA,NA
pontiac grand prix lj,77,5483,NA,NA,NA,NA,NA,NA,NA
pontiac sunbird coupe,77,3659,NA,NA,NA,NA,NA,NA,NA
renault 5 gtl,77,4450,NA,NA,NA,NA,NA,NA,NA
subaru dl,77,3499,NA,NA,NA,NA,NA,NA,NA
toyota corolla liftback,77,3918,NA,NA,NA,NA,NA,NA,NA
volkswagen dasher,77,5399,NA,NA,NA,NA,NA,NA,NA
volkswagen rabbit custom,77,4079,NA,NA,NA,NA,NA,NA,NA
amc concord,78,3849,NA,NA,NA,NA,NA,NA,NA
amc concord d/l,78,3849,NA,NA,NA,NA,NA,NA,NA
audi 5000,78,8780,NA,NA,NA,NA,NA,NA,NA
buick century special,78,4633,NA,NA,NA,NA,NA,NA,NA
buick regal sport coupe (turbo),78,5958,NA,NA,NA,NA,NA,NA,NA
chevrolet chevette,78,3644,NA,NA,NA,NA,NA,NA,NA
chevrolet malibu,78,4394,NA,NA,NA,NA,NA,NA,NA
chevrolet monte carlo landau,78,4935,NA,NA,NA,NA,NA,NA,NA
dodge aspen,78,3911,NA,NA,NA,NA,NA,NA,NA
dodge diplomat,78,5207,NA,NA,NA,NA,NA,NA,NA
dodge magnum xe,78,5509,NA,NA,NA,NA,NA,NA,NA
dodge omni,78,3967,NA,NA,NA,NA,NA,NA,NA
ford fairmont (auto),78,3744,NA,NA,NA,NA,NA,NA,NA
ford fairmont (man),78,3744,NA,NA,NA,NA,NA,NA,NA
honda accord lx,78,5965,NA,NA,NA,NA,NA,NA,NA
honda civic cvcc,78,3975,NA,NA,NA,NA,NA,NA,NA
mazda glc deluxe,78,3145,NA,NA,NA,NA,NA,NA,NA
mercury monarch ghia,78,4571,NA,NA,NA,NA,NA,NA,NA
mercury zephyr,78,3897,NA,NA,NA,NA,NA,NA,NA
oldsmobile cutlass salon brougham,78,4877,NA,NA,NA,NA,NA,NA,NA
oldsmobile starfire sx,78,4306,NA,NA,NA,NA,NA,NA,NA
peugeot 604sl,78,10990,NA,NA,NA,NA,NA,NA,NA
plymouth sapporo,78,6087,NA,NA,NA,NA,NA,NA,NA
plymouth volare,78,3771,NA,NA,NA,NA,NA,NA,NA
pontiac phoenix lj,78,4399,NA,NA,NA,NA,NA,NA,NA
saab 99gle,78,6298,NA,NA,NA,NA,NA,NA,NA
toyota celica gt liftback,78,5889,NA,NA,NA,NA,NA,NA,NA
toyota corona,78,4574,NA,NA,NA,NA,NA,NA,NA
volkswagen rabbit custom diesel,78,4699,NA,NA,NA,NA,NA,NA,NA
volkswagen scirocco,78,6095,NA,NA,NA,NA,NA,NA,NA
volvo 264gl,78,10245,NA,NA,NA,NA,NA,NA,NA
amc concord dl 6,79,4324,NA,NA,NA,NA,NA,NA,NA
amc spirit dl,79,4133,NA,NA,NA,NA,NA,NA,NA
buick estate wagon (sw),79,7169,NA,NA,NA,NA,NA,NA,NA
buick skylark limited,79,4462,NA,NA,NA,NA,NA,NA,NA
cadillac eldorado,79,14668,NA,NA,NA,NA,NA,NA,NA
chevrolet caprice classic,79,6508,NA,NA,NA,NA,NA,NA,NA
chevrolet malibu classic (sw),79,5480,NA,NA,NA,NA,NA,NA,NA
chrysler lebaron town @ country (sw),79,6642,NA,NA,NA,NA,NA,NA,NA
dodge aspen 6,79,4399,NA,NA,NA,NA,NA,NA,NA
dodge colt hatchback custom,79,4425,NA,NA,NA,NA,NA,NA,NA
dodge stregis,79,6847,NA,NA,NA,NA,NA,NA,NA
fiat strada custom,79,4496,NA,NA,NA,NA,NA,NA,NA
ford country squire (sw),79,7006,NA,NA,NA,NA,NA,NA,NA
ford fairmont 4,79,4383,NA,NA,NA,NA,NA,NA,NA
ford ltd landau,79,6686,NA,NA,NA,NA,NA,NA,NA
maxda glc deluxe,79,3995,NA,NA,NA,NA,NA,NA,NA
mercedes benz 300d,79,21497,NA,NA,NA,NA,NA,NA,NA
mercury grand marquis,79,7721,NA,NA,NA,NA,NA,NA,NA
mercury zephyr 6,79,4888,NA,NA,NA,NA,NA,NA,NA
oldsmobile cutlass salon brougham,79,5442,NA,NA,NA,NA,NA,NA,NA
oldsmobile omega brougham,79,4582,NA,NA,NA,NA,NA,NA,NA
peugeot 504,79,8040,NA,NA,NA,NA,NA,NA,NA
plymouth horizon,79,4469,NA,NA,NA,NA,NA,NA,NA
plymouth horizon tc3,79,4864,NA,NA,NA,NA,NA,NA,NA
pontiac lemans v6,79,5301,NA,NA,NA,NA,NA,NA,NA
pontiac phoenix,79,4089,NA,NA,NA,NA,NA,NA,NA
vw rabbit custom,79,4799,NA,NA,NA,NA,NA,NA,NA
