acceleration,mpg,model_year,cylinders,weight,displacement,car_name,horsepower,origin,msrp
NA,NA,72,NA,NA,NA,renault 12 (sw),NA,NA,2695
NA,NA,76,NA,NA,NA,peugeot 504,NA,NA,7340
NA,NA,71,NA,NA,NA,amc hornet sportabout (sw),NA,NA,2334
NA,NA,72,NA,NA,NA,plymouth satellite custom (sw),NA,NA,3340
NA,NA,79,NA,NA,NA,dodge stregis,NA,NA,6847
NA,NA,70,NA,NA,NA,plymouth satellite,NA,NA,2831
NA,NA,76,NA,NA,NA,honda civic,NA,NA,2939
NA,NA,78,NA,NA,NA,mazda glc deluxe,NA,NA,3145
NA,NA,79,NA,NA,NA,dodge aspen 6,NA,NA,4399
NA,NA,73,NA,NA,NA,ford ltd,NA,NA,3950
NA,NA,74,NA,NA,NA,toyota corolla 1200,NA,NA,2199
NA,NA,74,NA,NA,NA,opel manta,NA,NA,3275
NA,NA,75,NA,NA,NA,saab 99le,NA,NA,5198
NA,NA,76,NA,NA,NA,dodge colt,NA,NA,3175
NA,NA,72,NA,NA,NA,chevrolet impala,NA,NA,3979
NA,NA,73,NA,NA,NA,amc gremlin,NA,NA,2098
NA,NA,78,NA,NA,NA,toyota celica gt liftback,NA,NA,5889
NA,NA,73,NA,NA,NA,ford pinto,NA,NA,2021
NA,NA,77,NA,NA,NA,buick skylark,NA,NA,3865
NA,NA,72,NA,NA,NA,toyoto corona mark ii (sw),NA,NA,2837
NA,NA,73,NA,NA,NA,volvo 144ea,NA,NA,4340
NA,NA,76,NA,NA,NA,ford maverick,NA,NA,3117
NA,NA,79,NA,NA,NA,dodge colt hatchback custom,NA,NA,4425
NA,NA,77,NA,NA,NA,toyota corolla liftback,NA,NA,3918
NA,NA,79,NA,NA,NA,fiat strada custom,NA,NA,4496
NA,NA,79,NA,NA,NA,pontiac lemans v6,NA,NA,5301
NA,NA,77,NA,NA,NA,bmw 320i,NA,NA,7990
NA,NA,77,NA,NA,NA,chrysler cordoba,NA,NA,5418
NA,NA,78,NA,NA,NA,dodge aspen,NA,NA,3911
NA,NA,78,NA,NA,NA,honda civic cvcc,NA,NA,3975
NA,NA,72,NA,NA,NA,volvo 145e (sw),NA,NA,3890
NA,NA,73,NA,NA,NA,plymouth valiant,NA,NA,2447
NA,NA,73,NA,NA,NA,ford maverick,NA,NA,2248
NA,NA,73,NA,NA,NA,dodge coronet custom,NA,NA,3129
NA,NA,74,NA,NA,NA,buick century luxus (sw),NA,NA,4371
NA,NA,75,NA,NA,NA,toyota corona,NA,NA,4379
NA,NA,75,NA,NA,NA,volkswagen dasher,NA,NA,4700
NA,NA,70,NA,NA,NA,ford galaxie 500,NA,NA,3137
NA,NA,71,NA,NA,NA,ford f250,NA,NA,3214
NA,NA,70,NA,NA,NA,chevrolet monte carlo,NA,NA,3123
NA,NA,71,NA,NA,NA,peugeot 504,NA,NA,3478
NA,NA,74,NA,NA,NA,ford pinto,NA,NA,2527
NA,NA,75,NA,NA,NA,ford ltd,NA,NA,4753
NA,NA,73,NA,NA,NA,volkswagen super beetle,NA,NA,2499
NA,NA,74,NA,NA,NA,fiat 128,NA,NA,2684
NA,NA,72,NA,NA,NA,plymouth fury iii,NA,NA,3785
NA,NA,70,NA,NA,NA,ford torino (sw),NA,NA,3164
NA,NA,77,NA,NA,NA,oldsmobile cutlass supreme,NA,NA,4825
NA,NA,73,NA,NA,NA,fiat 128,NA,NA,2195
NA,NA,74,NA,NA,NA,fiat 124 tc,NA,NA,4343
NA,NA,79,NA,NA,NA,ford fairmont 4,NA,NA,4383
NA,NA,70,NA,NA,NA,ford torino,NA,NA,2778
NA,NA,74,NA,NA,NA,chevrolet nova,NA,NA,2919
NA,NA,72,NA,NA,NA,toyota corona hardtop,NA,NA,2532
NA,NA,77,NA,NA,NA,pontiac sunbird coupe,NA,NA,3659
NA,NA,72,NA,NA,NA,chrysler newport royal,NA,NA,4124
NA,NA,70,NA,NA,NA,pontiac catalina,NA,NA,3164
NA,NA,77,NA,NA,NA,chevrolet monte carlo landau,NA,NA,4968
NA,NA,79,NA,NA,NA,vw rabbit custom,NA,NA,4799
NA,NA,76,NA,NA,NA,toyota corolla,NA,NA,2789
NA,NA,79,NA,NA,NA,chrysler lebaron town @ country (sw),NA,NA,6642
NA,NA,70,NA,NA,NA,buick estate wagon (sw),NA,NA,4226
NA,NA,75,NA,NA,NA,toyota corolla,NA,NA,2711
NA,NA,71,NA,NA,NA,ford mustang,NA,NA,3322
NA,NA,73,NA,NA,NA,amc ambassador brougham,NA,NA,4477
NA,NA,71,NA,NA,NA,plymouth cricket,NA,NA,1915
NA,NA,76,NA,NA,NA,amc matador,NA,NA,3725
NA,NA,77,NA,NA,NA,chevrolet caprice classic,NA,NA,5307
NA,NA,74,NA,NA,NA,subaru,NA,NA,2997
NA,NA,73,NA,NA,NA,amc hornet,NA,NA,2449
NA,NA,72,NA,NA,NA,chevrolet chevelle concours (sw),NA,NA,3244
NA,NA,73,NA,NA,NA,chevrolet malibu,NA,NA,3010
NA,NA,75,NA,NA,NA,plymouth fury,NA,NA,3672
NA,NA,75,NA,NA,NA,amc matador,NA,NA,3545
NA,NA,70,NA,NA,NA,toyota corona mark ii,NA,NA,2170
NA,NA,76,NA,NA,NA,renault 12tl,NA,NA,3899
NA,NA,75,NA,NA,NA,volkswagen rabbit,NA,NA,3330
NA,NA,72,NA,NA,NA,ford pinto runabout,NA,NA,2078
NA,NA,73,NA,NA,NA,mercury marquis brougham,NA,NA,5151
NA,NA,70,NA,NA,NA,plymouth satellite (sw),NA,NA,3191
NA,NA,75,NA,NA,NA,plymouth grand fury,NA,NA,4565
NA,NA,76,NA,NA,NA,dodge coronet brougham,NA,NA,4297
NA,NA,73,NA,NA,NA,ford gran torino,NA,NA,3015
NA,NA,78,NA,NA,NA,chevrolet chevette,NA,NA,3644
NA,NA,73,NA,NA,NA,pontiac grand prix,NA,NA,4583
NA,NA,71,NA,NA,NA,peugeot 304,NA,NA,2479
NA,NA,74,NA,NA,NA,ford gran torino,NA,NA,3411
NA,NA,71,NA,NA,NA,chevy c20,NA,NA,3870
NA,NA,77,NA,NA,NA,mazda rx-4,NA,NA,5470
NA,NA,73,NA,NA,NA,dodge dart custom,NA,NA,2658
NA,NA,75,NA,NA,NA,amc pacer,NA,NA,3299
NA,NA,76,NA,NA,NA,cadillac seville,NA,NA,12479
NA,NA,78,NA,NA,NA,volkswagen rabbit custom diesel,NA,NA,4699
NA,NA,76,NA,NA,NA,volkswagen rabbit,NA,NA,3499
NA,NA,79,NA,NA,NA,oldsmobile omega brougham,NA,NA,4582
NA,NA,73,NA,NA,NA,chrysler new yorker brougham,NA,NA,5413
NA,NA,76,NA,NA,NA,mercedes-benz 280s,NA,NA,17124
NA,NA,71,NA,NA,NA,plymouth satellite custom,NA,NA,3003
NA,NA,78,NA,NA,NA,saab 99gle,NA,NA,6298
NA,NA,71,NA,NA,NA,ford pinto,NA,NA,1919
NA,NA,71,NA,NA,NA,toyota corolla 1200,NA,NA,1798
NA,NA,74,NA,NA,NA,audi fox,NA,NA,3975
NA,NA,79,NA,NA,NA,peugeot 504,NA,NA,8040
NA,NA,71,NA,NA,NA,toyota corona,NA,NA,2150
NA,NA,79,NA,NA,NA,mercedes benz 300d,NA,NA,21497
NA,NA,74,NA,NA,NA,chevrolet vega,NA,NA,2505
NA,NA,72,NA,NA,NA,oldsmobile delta 88 royale,NA,NA,4387
NA,NA,79,NA,NA,NA,amc concord dl 6,NA,NA,4324
NA,NA,78,NA,NA,NA,volvo 264gl,NA,NA,10245
NA,NA,73,NA,NA,NA,buick century 350,NA,NA,3057
NA,NA,72,NA,NA,NA,pontiac catalina,NA,NA,4080
NA,NA,76,NA,NA,NA,dodge d100,NA,NA,3777
NA,NA,76,NA,NA,NA,plymouth volare premier v8,NA,NA,3324
NA,NA,79,NA,NA,NA,amc spirit dl,NA,NA,4133
NA,NA,74,NA,NA,NA,dodge colt,NA,NA,2585
NA,NA,79,NA,NA,NA,pontiac phoenix,NA,NA,4089
NA,NA,76,NA,NA,NA,dodge aspen se,NA,NA,4413
NA,NA,74,NA,NA,NA,volkswagen dasher,NA,NA,4100
NA,NA,77,NA,NA,NA,dodge monaco brougham,NA,NA,4408
NA,NA,71,NA,NA,NA,chevrolet vega 2300,NA,NA,2090
NA,NA,73,NA,NA,NA,toyota carina,NA,NA,2589
NA,NA,79,NA,NA,NA,mercury grand marquis,NA,NA,7721
NA,NA,76,NA,NA,NA,chevy c10,NA,NA,5087
NA,NA,77,NA,NA,NA,dodge colt m/m,NA,NA,2999
NA,NA,74,NA,NA,NA,honda civic,NA,NA,2545
NA,NA,75,NA,NA,NA,pontiac astro,NA,NA,3079
NA,NA,77,NA,NA,NA,mercury cougar brougham,NA,NA,4990
NA,NA,78,NA,NA,NA,plymouth volare,NA,NA,3771
NA,NA,73,NA,NA,NA,chevrolet caprice classic,NA,NA,4345
NA,NA,74,NA,NA,NA,amc hornet,NA,NA,2849
NA,NA,78,NA,NA,NA,plymouth sapporo,NA,NA,6087
NA,NA,75,NA,NA,NA,buick century,NA,NA,4022
NA,NA,79,NA,NA,NA,buick estate wagon (sw),NA,NA,7169
NA,NA,76,NA,NA,NA,chevrolet nova,NA,NA,3413
NA,NA,78,NA,NA,NA,amc concord d/l,NA,NA,3849
NA,NA,74,NA,NA,NA,amc matador,NA,NA,3699
NA,NA,77,NA,NA,NA,volkswagen rabbit custom,NA,NA,4079
NA,NA,73,NA,NA,NA,oldsmobile omega,NA,NA,2777
NA,NA,73,NA,NA,NA,fiat 124 sport coupe,NA,NA,3674
NA,NA,73,NA,NA,NA,amc matador,NA,NA,2986
NA,NA,72,NA,NA,NA,mercury marquis,NA,NA,4572
NA,NA,78,NA,NA,NA,pontiac phoenix lj,NA,NA,4399
NA,NA,78,NA,NA,NA,honda accord lx,NA,NA,5965
NA,NA,78,NA,NA,NA,toyota corona,NA,NA,4574
NA,NA,79,NA,NA,NA,chevrolet caprice classic,NA,NA,6508
NA,NA,78,NA,NA,NA,amc concord,NA,NA,3849
NA,NA,74,NA,NA,NA,amc matador (sw),NA,NA,3477
NA,NA,72,NA,NA,NA,ford pinto (sw),NA,NA,2265
NA,NA,71,NA,NA,NA,dodge monaco (sw),NA,NA,4689
NA,NA,79,NA,NA,NA,cadillac eldorado,NA,NA,14668
NA,NA,78,NA,NA,NA,mercury zephyr,NA,NA,3897
NA,NA,77,NA,NA,NA,chevrolet concours,NA,NA,4111
NA,NA,76,NA,NA,NA,plymouth valiant,NA,NA,3276
NA,NA,71,NA,NA,NA,amc gremlin,NA,NA,1999
NA,NA,74,NA,NA,NA,plymouth duster,NA,NA,2829
NA,NA,73,NA,NA,NA,chevrolet nova custom,NA,NA,2641
NA,NA,73,NA,NA,NA,oldsmobile vista cruiser,NA,NA,3789
NA,NA,78,NA,NA,NA,mercury monarch ghia,NA,NA,4571
NA,NA,78,NA,NA,NA,dodge magnum xe,NA,NA,5509
NA,NA,75,NA,NA,NA,ford pinto,NA,NA,2769
NA,NA,75,NA,NA,NA,pontiac catalina,NA,NA,4700
NA,NA,79,NA,NA,NA,oldsmobile cutlass salon brougham,NA,NA,5442
NA,NA,71,NA,NA,NA,saab 99e,NA,NA,3375
NA,NA,72,NA,NA,NA,dodge colt hardtop,NA,NA,2233
NA,NA,77,NA,NA,NA,pontiac grand prix lj,NA,NA,5483
NA,NA,72,NA,NA,NA,amc matador (sw),NA,NA,3239
NA,NA,77,NA,NA,NA,chevrolet chevette,NA,NA,3225
NA,NA,73,NA,NA,NA,chevrolet monte carlo s,NA,NA,3562
NA,NA,75,NA,NA,NA,amc gremlin,NA,NA,2798
NA,NA,77,NA,NA,NA,plymouth arrow gs,NA,NA,3654
NA,NA,73,NA,NA,NA,buick electra 225 custom,NA,NA,4993
NA,NA,73,NA,NA,NA,audi 100ls,NA,NA,4275
NA,NA,77,NA,NA,NA,ford mustang ii 2+2,NA,NA,4183
NA,NA,70,NA,NA,NA,dodge challenger se,NA,NA,3914
NA,NA,76,NA,NA,NA,amc hornet,NA,NA,3199
NA,NA,72,NA,NA,NA,chevrolet vega,NA,NA,2160
NA,NA,71,NA,NA,NA,amc matador,NA,NA,3100
NA,NA,70,NA,NA,NA,chevrolet chevelle malibu,NA,NA,2881
NA,NA,75,NA,NA,NA,chevrolet bel air,NA,NA,4345
NA,NA,79,NA,NA,NA,plymouth horizon,NA,NA,4469
NA,NA,70,NA,NA,NA,chevrolet chevelle concours (sw),NA,NA,3210
NA,NA,78,NA,NA,NA,dodge diplomat,NA,NA,5207
NA,NA,76,NA,NA,NA,ford granada ghia,NA,NA,4353
NA,NA,79,NA,NA,NA,buick skylark limited,NA,NA,4462
NA,NA,78,NA,NA,NA,buick century special,NA,NA,4633
NA,NA,74,NA,NA,NA,ford maverick,NA,NA,2790
NA,NA,75,NA,NA,NA,plymouth valiant custom,NA,NA,3422
NA,NA,77,NA,NA,NA,plymouth volare custom,NA,NA,3752
NA,NA,76,NA,NA,NA,vw rabbit,NA,NA,3499
NA,NA,78,NA,NA,NA,ford fairmont (auto),NA,NA,3744
NA,NA,75,NA,NA,NA,peugeot 504,NA,NA,6330
NA,NA,78,NA,NA,NA,oldsmobile starfire sx,NA,NA,4306
NA,NA,79,NA,NA,NA,chevrolet malibu classic (sw),NA,NA,5480
NA,NA,71,NA,NA,NA,chevrolet vega (sw),NA,NA,2328
NA,NA,70,NA,NA,NA,ford maverick,NA,NA,1995
NA,NA,70,NA,NA,NA,amc rebel sst (sw),NA,NA,2766
NA,NA,76,NA,NA,NA,fiat 131,NA,NA,4286
NA,NA,75,NA,NA,NA,chevrolet nova,NA,NA,3280
NA,NA,72,NA,NA,NA,toyota corolla 1600 (sw),NA,NA,2301
